value,location_id,date,province_id,autonomous_region_id,_id
78947,39075,2003-01,39,6,39075/2003-01-01
79366,39075,2003-02,39,6,39075/2003-02-01
80032,39075,2003-03,39,6,39075/2003-03-01
80661,39075,2003-04,39,6,39075/2003-04-01
81219,39075,2003-05,39,6,39075/2003-05-01
82079,39075,2003-06,39,6,39075/2003-06-01
83883,39075,2003-07,39,6,39075/2003-07-01
82073,39075,2003-08,39,6,39075/2003-08-01
81599,39075,2003-09,39,6,39075/2003-09-01
81527,39075,2003-10,39,6,39075/2003-10-01
82366,39075,2003-11,39,6,39075/2003-11-01
80956,39075,2003-12,39,6,39075/2003-12-01
80479,39075,2004-01,39,6,39075/2004-01-01
80783,39075,2004-02,39,6,39075/2004-02-01
81182,39075,2004-03,39,6,39075/2004-03-01
81835,39075,2004-04,39,6,39075/2004-04-01
82311,39075,2004-05,39,6,39075/2004-05-01
83331,39075,2004-06,39,6,39075/2004-06-01
84998,39075,2004-07,39,6,39075/2004-07-01
83439,39075,2004-08,39,6,39075/2004-08-01
84025,39075,2004-09,39,6,39075/2004-09-01
84071,39075,2004-10,39,6,39075/2004-10-01
84546,39075,2004-11,39,6,39075/2004-11-01
83476,39075,2004-12,39,6,39075/2004-12-01
82799,39075,2005-01,39,6,39075/2005-01-01
83356,39075,2005-02,39,6,39075/2005-02-01
84007,39075,2005-03,39,6,39075/2005-03-01
85008,39075,2005-04,39,6,39075/2005-04-01
85462,39075,2005-05,39,6,39075/2005-05-01
86778,39075,2005-06,39,6,39075/2005-06-01
88114,39075,2005-07,39,6,39075/2005-07-01
86592,39075,2005-08,39,6,39075/2005-08-01
87384,39075,2005-09,39,6,39075/2005-09-01
87007,39075,2005-10,39,6,39075/2005-10-01
88128,39075,2005-11,39,6,39075/2005-11-01
86987,39075,2005-12,39,6,39075/2005-12-01
86796,39075,2006-01,39,6,39075/2006-01-01
87535,39075,2006-02,39,6,39075/2006-02-01
88885,39075,2006-03,39,6,39075/2006-03-01
89831,39075,2006-04,39,6,39075/2006-04-01
90123,39075,2006-05,39,6,39075/2006-05-01
91061,39075,2006-06,39,6,39075/2006-06-01
92767,39075,2006-07,39,6,39075/2006-07-01
91392,39075,2006-08,39,6,39075/2006-08-01
92735,39075,2006-09,39,6,39075/2006-09-01
91991,39075,2006-10,39,6,39075/2006-10-01
92157,39075,2006-11,39,6,39075/2006-11-01
91338,39075,2006-12,39,6,39075/2006-12-01
90740,39075,2007-01,39,6,39075/2007-01-01
90729,39075,2007-02,39,6,39075/2007-02-01
91769,39075,2007-03,39,6,39075/2007-03-01
91982,39075,2007-04,39,6,39075/2007-04-01
92557,39075,2007-05,39,6,39075/2007-05-01
94682,39075,2007-06,39,6,39075/2007-06-01
95533,39075,2007-07,39,6,39075/2007-07-01
92985,39075,2007-08,39,6,39075/2007-08-01
94651,39075,2007-09,39,6,39075/2007-09-01
93767,39075,2007-10,39,6,39075/2007-10-01
94044,39075,2007-11,39,6,39075/2007-11-01
93521,39075,2007-12,39,6,39075/2007-12-01
92438,39075,2008-01,39,6,39075/2008-01-01
92827,39075,2008-02,39,6,39075/2008-02-01
92796,39075,2008-03,39,6,39075/2008-03-01
92926,39075,2008-04,39,6,39075/2008-04-01
93713,39075,2008-05,39,6,39075/2008-05-01
93605,39075,2008-06,39,6,39075/2008-06-01
94453,39075,2008-07,39,6,39075/2008-07-01
94075,39075,2008-08,39,6,39075/2008-08-01
92497,39075,2008-09,39,6,39075/2008-09-01
91465,39075,2008-10,39,6,39075/2008-10-01
91468,39075,2008-11,39,6,39075/2008-11-01
90038,39075,2008-12,39,6,39075/2008-12-01
89046,39075,2009-01,39,6,39075/2009-01-01
89068,39075,2009-02,39,6,39075/2009-02-01
88760,39075,2009-03,39,6,39075/2009-03-01
88539,39075,2009-04,39,6,39075/2009-04-01
89459,39075,2009-05,39,6,39075/2009-05-01
89304,39075,2009-06,39,6,39075/2009-06-01
89789,39075,2009-07,39,6,39075/2009-07-01
88287,39075,2009-08,39,6,39075/2009-08-01
88696,39075,2009-09,39,6,39075/2009-09-01
88619,39075,2009-10,39,6,39075/2009-10-01
87997,39075,2009-11,39,6,39075/2009-11-01
87168,39075,2009-12,39,6,39075/2009-12-01
86777,39075,2010-01,39,6,39075/2010-01-01
86889,39075,2010-02,39,6,39075/2010-02-01
86020,39075,2010-03,39,6,39075/2010-03-01
86661,39075,2010-04,39,6,39075/2010-04-01
86820,39075,2010-05,39,6,39075/2010-05-01
87510,39075,2010-06,39,6,39075/2010-06-01
89310,39075,2010-07,39,6,39075/2010-07-01
86775,39075,2010-08,39,6,39075/2010-08-01
87135,39075,2010-09,39,6,39075/2010-09-01
87435,39075,2010-10,39,6,39075/2010-10-01
87100,39075,2010-11,39,6,39075/2010-11-01
86179,39075,2010-12,39,6,39075/2010-12-01
85080,39075,2011-01,39,6,39075/2011-01-01
85116,39075,2011-02,39,6,39075/2011-02-01
85311,39075,2011-03,39,6,39075/2011-03-01
85737,39075,2011-04,39,6,39075/2011-04-01
85291,39075,2011-05,39,6,39075/2011-05-01
