value,location_id,date,province_id,autonomous_region_id,age_range,_id
1063,39075,2005-05,39,6,<25,39075/2005-05-01/<25
3332,39075,2005-05,39,6,>=45,39075/2005-05-01/>=45
4357,39075,2005-05,39,6,25-44,39075/2005-05-01/25-44
4087,39075,2005-06,39,6,25-44,39075/2005-06-01/25-44
3230,39075,2005-06,39,6,>=45,39075/2005-06-01/>=45
1040,39075,2005-06,39,6,<25,39075/2005-06-01/<25
3971,39075,2005-07,39,6,25-44,39075/2005-07-01/25-44
908,39075,2005-07,39,6,<25,39075/2005-07-01/<25
3175,39075,2005-07,39,6,>=45,39075/2005-07-01/>=45
3137,39075,2005-08,39,6,>=45,39075/2005-08-01/>=45
3907,39075,2005-08,39,6,25-44,39075/2005-08-01/25-44
868,39075,2005-08,39,6,<25,39075/2005-08-01/<25
978,39075,2005-09,39,6,<25,39075/2005-09-01/<25
3896,39075,2005-09,39,6,25-44,39075/2005-09-01/25-44
3152,39075,2005-09,39,6,>=45,39075/2005-09-01/>=45
4164,39075,2005-10,39,6,25-44,39075/2005-10-01/25-44
1018,39075,2005-10,39,6,<25,39075/2005-10-01/<25
3234,39075,2005-10,39,6,>=45,39075/2005-10-01/>=45
4126,39075,2005-11,39,6,25-44,39075/2005-11-01/25-44
3271,39075,2005-11,39,6,>=45,39075/2005-11-01/>=45
973,39075,2005-11,39,6,<25,39075/2005-11-01/<25
884,39075,2005-12,39,6,<25,39075/2005-12-01/<25
4123,39075,2005-12,39,6,25-44,39075/2005-12-01/25-44
3282,39075,2005-12,39,6,>=45,39075/2005-12-01/>=45
4501,39075,2006-01,39,6,25-44,39075/2006-01-01/25-44
991,39075,2006-01,39,6,<25,39075/2006-01-01/<25
3418,39075,2006-01,39,6,>=45,39075/2006-01-01/>=45
1002,39075,2006-02,39,6,<25,39075/2006-02-01/<25
3462,39075,2006-02,39,6,>=45,39075/2006-02-01/>=45
4377,39075,2006-02,39,6,25-44,39075/2006-02-01/25-44
4172,39075,2006-03,39,6,25-44,39075/2006-03-01/25-44
3366,39075,2006-03,39,6,>=45,39075/2006-03-01/>=45
961,39075,2006-03,39,6,<25,39075/2006-03-01/<25
897,39075,2006-04,39,6,<25,39075/2006-04-01/<25
3990,39075,2006-04,39,6,25-44,39075/2006-04-01/25-44
3269,39075,2006-04,39,6,>=45,39075/2006-04-01/>=45
750,39075,2006-05,39,6,<25,39075/2006-05-01/<25
3186,39075,2006-05,39,6,>=45,39075/2006-05-01/>=45
3695,39075,2006-05,39,6,25-44,39075/2006-05-01/25-44
719,39075,2006-06,39,6,<25,39075/2006-06-01/<25
3417,39075,2006-06,39,6,25-44,39075/2006-06-01/25-44
3077,39075,2006-06,39,6,>=45,39075/2006-06-01/>=45
2986,39075,2006-07,39,6,>=45,39075/2006-07-01/>=45
626,39075,2006-07,39,6,<25,39075/2006-07-01/<25
3256,39075,2006-07,39,6,25-44,39075/2006-07-01/25-44
632,39075,2006-08,39,6,<25,39075/2006-08-01/<25
3295,39075,2006-08,39,6,25-44,39075/2006-08-01/25-44
2954,39075,2006-08,39,6,>=45,39075/2006-08-01/>=45
2967,39075,2006-09,39,6,>=45,39075/2006-09-01/>=45
3331,39075,2006-09,39,6,25-44,39075/2006-09-01/25-44
691,39075,2006-09,39,6,<25,39075/2006-09-01/<25
3437,39075,2006-10,39,6,25-44,39075/2006-10-01/25-44
732,39075,2006-10,39,6,<25,39075/2006-10-01/<25
2996,39075,2006-10,39,6,>=45,39075/2006-10-01/>=45
751,39075,2006-11,39,6,<25,39075/2006-11-01/<25
3421,39075,2006-11,39,6,25-44,39075/2006-11-01/25-44
3068,39075,2006-11,39,6,>=45,39075/2006-11-01/>=45
690,39075,2006-12,39,6,<25,39075/2006-12-01/<25
3095,39075,2006-12,39,6,>=45,39075/2006-12-01/>=45
3529,39075,2006-12,39,6,25-44,39075/2006-12-01/25-44
735,39075,2007-01,39,6,<25,39075/2007-01-01/<25
3772,39075,2007-01,39,6,25-44,39075/2007-01-01/25-44
3227,39075,2007-01,39,6,>=45,39075/2007-01-01/>=45
756,39075,2007-02,39,6,<25,39075/2007-02-01/<25
3691,39075,2007-02,39,6,25-44,39075/2007-02-01/25-44
3261,39075,2007-02,39,6,>=45,39075/2007-02-01/>=45
3571,39075,2007-03,39,6,25-44,39075/2007-03-01/25-44
710,39075,2007-03,39,6,<25,39075/2007-03-01/<25
3268,39075,2007-03,39,6,>=45,39075/2007-03-01/>=45
3400,39075,2007-04,39,6,25-44,39075/2007-04-01/25-44
699,39075,2007-04,39,6,<25,39075/2007-04-01/<25
3202,39075,2007-04,39,6,>=45,39075/2007-04-01/>=45
571,39075,2007-05,39,6,<25,39075/2007-05-01/<25
3202,39075,2007-05,39,6,25-44,39075/2007-05-01/25-44
3138,39075,2007-05,39,6,>=45,39075/2007-05-01/>=45
532,39075,2007-06,39,6,<25,39075/2007-06-01/<25
3041,39075,2007-06,39,6,25-44,39075/2007-06-01/25-44
3031,39075,2007-06,39,6,>=45,39075/2007-06-01/>=45
3004,39075,2007-07,39,6,25-44,39075/2007-07-01/25-44
2932,39075,2007-07,39,6,>=45,39075/2007-07-01/>=45
519,39075,2007-07,39,6,<25,39075/2007-07-01/<25
2945,39075,2007-08,39,6,>=45,39075/2007-08-01/>=45
566,39075,2007-08,39,6,<25,39075/2007-08-01/<25
3135,39075,2007-08,39,6,25-44,39075/2007-08-01/25-44
3091,39075,2007-09,39,6,25-44,39075/2007-09-01/25-44
2956,39075,2007-09,39,6,>=45,39075/2007-09-01/>=45
614,39075,2007-09,39,6,<25,39075/2007-09-01/<25
3273,39075,2007-10,39,6,25-44,39075/2007-10-01/25-44
678,39075,2007-10,39,6,<25,39075/2007-10-01/<25
3048,39075,2007-10,39,6,>=45,39075/2007-10-01/>=45
709,39075,2007-11,39,6,<25,39075/2007-11-01/<25
3299,39075,2007-11,39,6,25-44,39075/2007-11-01/25-44
3121,39075,2007-11,39,6,>=45,39075/2007-11-01/>=45
3352,39075,2007-12,39,6,25-44,39075/2007-12-01/25-44
3160,39075,2007-12,39,6,>=45,39075/2007-12-01/>=45
699,39075,2007-12,39,6,<25,39075/2007-12-01/<25
3381,39075,2008-01,39,6,>=45,39075/2008-01-01/>=45
749,39075,2008-01,39,6,<25,39075/2008-01-01/<25
3791,39075,2008-01,39,6,25-44,39075/2008-01-01/25-44
3369,39075,2008-02,39,6,>=45,39075/2008-02-01/>=45
3874,39075,2008-02,39,6,25-44,39075/2008-02-01/25-44
752,39075,2008-02,39,6,<25,39075/2008-02-01/<25
3336,39075,2008-03,39,6,>=45,39075/2008-03-01/>=45
753,39075,2008-03,39,6,<25,39075/2008-03-01/<25
3766,39075,2008-03,39,6,25-44,39075/2008-03-01/25-44
3336,39075,2008-04,39,6,>=45,39075/2008-04-01/>=45
753,39075,2008-04,39,6,<25,39075/2008-04-01/<25
