groups,value,pct
0-4,6526,3.75150180792
05-09,7152,4.11136085354
10-14,7194,4.13550475117
15-19,7121,4.09354035767
20-24,8101,4.65689796904
25-29,9342,5.37029265853
30-34,11230,6.45561834246
35-39,12870,7.39838005944
40-44,12603,7.24489385308
45-49,13010,7.47885971821
50-54,13465,7.7404186092
55-59,13626,7.83297021678
60-64,11925,6.85514236277
65-69,10912,6.27281454612
70-74,8173,4.69828750783
75-79,6761,3.8865926637
80-84,6708,3.85612536431
85-89,4580,2.63283455107
90-94,2032,1.16810476152
95-99,535,0.307547267428
100 and over,91,0.0523117781981
