value,location_id,date,province_id,autonomous_region_id,_id
29999,39073,2014,39,6,39073/2014-01-01
28370,39020,2014,39,6,39020/2014-01-01
23391,39005,2014,39,6,39005/2014-01-01
23225,39027,2014,39,6,39027/2014-01-01
23172,39085,2014,39,6,39085/2014-01-01
23137,39044,2014,39,6,39044/2014-01-01
22000,39023,2014,39,6,39023/2014-01-01
21604,39001,2014,39,6,39001/2014-01-01
19674,39064,2014,39,6,39064/2014-01-01
17977,39026,2014,39,6,39026/2014-01-01
17813,39046,2014,39,6,39046/2014-01-01
17354,39022,2014,39,6,39022/2014-01-01
24621,39061,2014,39,6,39061/2014-01-01
22824,39042,2014,39,6,39042/2014-01-01
22590,39035,2014,39,6,39035/2014-01-01
22421,39062,2014,39,6,39062/2014-01-01
22239,39087,2014,39,6,39087/2014-01-01
22231,39009,2014,39,6,39009/2014-01-01
21423,39032,2014,39,6,39032/2014-01-01
20677,39069,2014,39,6,39069/2014-01-01
20516,39078,2014,39,6,39078/2014-01-01
20335,39102,2014,39,6,39102/2014-01-01
20178,39031,2014,39,6,39031/2014-01-01
20161,39043,2014,39,6,39043/2014-01-01
19829,39024,2014,39,6,39024/2014-01-01
18538,39100,2014,39,6,39100/2014-01-01
18464,39066,2014,39,6,39066/2014-01-01
27929,39036,2014,39,6,39036/2014-01-01
26075,39052,2014,39,6,39052/2014-01-01
23414,39059,2014,39,6,39059/2014-01-01
23077,39008,2014,39,6,39008/2014-01-01
22760,39025,2014,39,6,39025/2014-01-01
22731,39038,2014,39,6,39038/2014-01-01
21658,39028,2014,39,6,39028/2014-01-01
20975,39037,2014,39,6,39037/2014-01-01
20917,39012,2014,39,6,39012/2014-01-01
20857,39079,2014,39,6,39079/2014-01-01
20836,39019,2014,39,6,39019/2014-01-01
20377,39006,2014,39,6,39006/2014-01-01
20277,39047,2014,39,6,39047/2014-01-01
18799,39091,2014,39,6,39091/2014-01-01
18735,39055,2014,39,6,39055/2014-01-01
17101,39098,2014,39,6,39098/2014-01-01
16617,39063,2014,39,6,39063/2014-01-01
16382,39015,2014,39,6,39015/2014-01-01
23884,39099,2014,39,6,39099/2014-01-01
23796,39040,2014,39,6,39040/2014-01-01
23748,39016,2014,39,6,39016/2014-01-01
23741,39030,2014,39,6,39030/2014-01-01
22096,39041,2014,39,6,39041/2014-01-01
22084,39060,2014,39,6,39060/2014-01-01
21172,39002,2014,39,6,39002/2014-01-01
21113,39074,2014,39,6,39074/2014-01-01
20754,39095,2014,39,6,39095/2014-01-01
20367,39018,2014,39,6,39018/2014-01-01
19474,39092,2014,39,6,39092/2014-01-01
19377,39011,2014,39,6,39011/2014-01-01
18212,39082,2014,39,6,39082/2014-01-01
17085,39084,2014,39,6,39084/2014-01-01
15809,39094,2014,39,6,39094/2014-01-01
14543,39083,2014,39,6,39083/2014-01-01
27429,39075,2014,39,6,39075/2014-01-01
22805,39054,2014,39,6,39054/2014-01-01
22313,39076,2014,39,6,39076/2014-01-01
22015,39048,2014,39,6,39048/2014-01-01
20709,39056,2014,39,6,39056/2014-01-01
19011,39057,2014,39,6,39057/2014-01-01
18802,39080,2014,39,6,39080/2014-01-01
18590,39004,2014,39,6,39004/2014-01-01
