value,location_id,date,province_id,autonomous_region_id,_id
11.73,39075,2011-01,39,6,39075/2011-01-01
12.09,39075,2011-02,39,6,39075/2011-02-01
12.32,39075,2011-03,39,6,39075/2011-03-01
12.17,39075,2011-04,39,6,39075/2011-04-01
11.76,39075,2011-05,39,6,39075/2011-05-01
11.46,39075,2011-06,39,6,39075/2011-06-01
11.05,39075,2011-07,39,6,39075/2011-07-01
11.34,39075,2011-08,39,6,39075/2011-08-01
11.72,39075,2011-09,39,6,39075/2011-09-01
12.14,39075,2011-10,39,6,39075/2011-10-01
12.25,39075,2011-11,39,6,39075/2011-11-01
12.25,39075,2011-12,39,6,39075/2011-12-01
13.16,39075,2012-01,39,6,39075/2012-01-01
13.59,39075,2012-02,39,6,39075/2012-02-01
13.75,39075,2012-03,39,6,39075/2012-03-01
13.71,39075,2012-04,39,6,39075/2012-04-01
13.55,39075,2012-05,39,6,39075/2012-05-01
13.17,39075,2012-06,39,6,39075/2012-06-01
12.71,39075,2012-07,39,6,39075/2012-07-01
12.93,39075,2012-08,39,6,39075/2012-08-01
13.29,39075,2012-09,39,6,39075/2012-09-01
13.9,39075,2012-10,39,6,39075/2012-10-01
14.16,39075,2012-11,39,6,39075/2012-11-01
13.99,39075,2012-12,39,6,39075/2012-12-01
14.75,39075,2013-01,39,6,39075/2013-01-01
14.91,39075,2013-02,39,6,39075/2013-02-01
14.9,39075,2013-03,39,6,39075/2013-03-01
14.89,39075,2013-04,39,6,39075/2013-04-01
14.7,39075,2013-05,39,6,39075/2013-05-01
14.25,39075,2013-06,39,6,39075/2013-06-01
13.24,39075,2013-07,39,6,39075/2013-07-01
13.31,39075,2013-08,39,6,39075/2013-08-01
13.67,39075,2013-09,39,6,39075/2013-09-01
14.12,39075,2013-10,39,6,39075/2013-10-01
14.2,39075,2013-11,39,6,39075/2013-11-01
14.2,39075,2013-12,39,6,39075/2013-12-01
14.76,39075,2014-01,39,6,39075/2014-01-01
14.39,39075,2014-02,39,6,39075/2014-02-01
14.15,39075,2014-03,39,6,39075/2014-03-01
13.84,39075,2014-04,39,6,39075/2014-04-01
13.59,39075,2014-05,39,6,39075/2014-05-01
13.01,39075,2014-06,39,6,39075/2014-06-01
12.6,39075,2014-07,39,6,39075/2014-07-01
12.51,39075,2014-08,39,6,39075/2014-08-01
12.78,39075,2014-09,39,6,39075/2014-09-01
13.22,39075,2014-10,39,6,39075/2014-10-01
13.49,39075,2014-11,39,6,39075/2014-11-01
13.07,39075,2014-12,39,6,39075/2014-12-01
13.54,39075,2015-01,39,6,39075/2015-01-01
13.22,39075,2015-02,39,6,39075/2015-02-01
13.11,39075,2015-03,39,6,39075/2015-03-01
12.69,39075,2015-04,39,6,39075/2015-04-01
12.44,39075,2015-05,39,6,39075/2015-05-01
12.19,39075,2015-06,39,6,39075/2015-06-01
12.04,39075,2015-07,39,6,39075/2015-07-01
12.26,39075,2015-08,39,6,39075/2015-08-01
12.56,39075,2015-09,39,6,39075/2015-09-01
13.0,39075,2015-10,39,6,39075/2015-10-01
13.07,39075,2015-11,39,6,39075/2015-11-01
13.05,39075,2015-12,39,6,39075/2015-12-01
13.55,39075,2016-01,39,6,39075/2016-01-01
13.55,39075,2016-02,39,6,39075/2016-02-01
12.99,39075,2016-03,39,6,39075/2016-03-01
12.69,39075,2016-04,39,6,39075/2016-04-01
12.38,39075,2016-05,39,6,39075/2016-05-01
11.75,39075,2016-06,39,6,39075/2016-06-01
11.26,39075,2016-07,39,6,39075/2016-07-01
11.31,39075,2016-08,39,6,39075/2016-08-01
11.69,39075,2016-09,39,6,39075/2016-09-01
11.96,39075,2016-10,39,6,39075/2016-10-01
